,HN00157641_AMT60212,HN00157641_CPP6002,HN00158226_AMT-62212,HN00158226_AMT-62411,HN00158226_AMT-86116,HN00158226_AMT-912711,HN00158226_F1493,HN00158226_GS200142,HN00158226_K200742,HN00158226_TJ3-03,HN00160728_K40318,HN00161493_KY0014,HN00163376_AMT88628,HN00163376_FA111,HN00167634_C4-2,HN00167634_CPP0006,HN00167634_K200347,HN00171167_F3034,HN00171167_F3035,HN00171167_F3039,HN00171167_F3062,HN00171167_F3071,HN00173995_F3121,HN00173995_F3303,HN00173995_F3309,HN00173995_MK3-11,HN00173995_MK3-15,HN00173995_MK7-12,HN00173995_MK7-50,HN00173995_T10-36,HN00173995_T10-42,HN00175004_F3085,HN00175004_F3276,HN00175004_GS00019,HN00175004_GS00024,HN00175004_GS00026,HN00175004_MK2-49,HN00175486_F1015,HN00175486_F1049,HN00175486_F1319,HN00175486_F1320,HN00175486_F1321,HN00175486_F1331,HN00175486_F1340,HN00175486_F3127,HN00175486_F3142,HN00175486_F3161,HN00175486_F3168,HN00175486_F3177,HN00175486_F3230,HN00175486_F3232,HN00175486_GS00022,HN00175796_F3300,HN00175796_F3301,HN00175796_F3306,HN00175796_F3307,HN00175796_F3369,HN00175796_F3370,HN00175796_F3371,HN00175796_F3378,HN00175796_F3454,HN00175796_F3461,HN00175796_F3466,HN00175796_GS201401,HN00175796_GS201402,HN00175796_GS41424,HN00175796_GS41425,HN00176442_F3372,HN00176442_GS40304,HN00176442_GS40306,HN00176442_GS41429,HN00176442_GSY0003,HN00176442_GSY0007,HN00176442_GSY0017,HN00179262_F4055,HN00179262_F4206,HN00179262_F4454,HN00179328_F2309-1,HN00179328_F2317,HN00179328_K040706,HN00179328_KMGR2-43,HN00180670_CHKJ1115-02,HN00180670_CHKJ1127,HN00180670_CHKJ1223-2,HN00180670_F2080,HN00180670_F2121,HN00180670_K40327,HN00180670_MK1-10,HN00180670_MK1-12,HN00180670_MK1-13,HN00180670_MK1-18,HN00180670_MK1-34,HN00180670_MK1-9,HN00180670_MK2-12,HN00180670_MK2-3,HN00180670_MK2-6,HN00195341_AMT-61016,HN00195341_CHKJ1253026,HN00195341_DK250101,HN00195341_DK250105,HN00195341_DK250126,HN00195341_DK250312,HN00195341_DK50004,HN00195341_DK50032,HN00195341_G2-10,HN00195341_G3-29,HN00195341_JJ1-135,HN00196390_AMT-60411,HN00196390_CHKJ1122,HN00196390_DK250125,HN00196390_F2132,HN00196390_F2151,HN00196390_K200109,HN00196390_K200234,HN00196390_K40028,HN00196390_K40049,HN00196390_KFT18,HN00196822_AMT-60612,HN00196822_AMT-86113,HN00196822_K200228,HN00196822_K40725,HN00200515_AMT-62920,HN00200515_AMT-73813,HN00200515_AMT-74226,HN00200515_DKM250103,HN00200515_GS00003,HN00200515_GS00008,HN00200515_GS00049,HN00200515_GS200102,HN00200515_GS200141,HN00200515_K40006,HN00200515_KY0001,HN00200515_KY0017,HN00200749_GS00038,HN00200749_K200115,HN00200749_K42834,HN00200749_KK200119,HN00200749_MK2-46,HN00200749_T10-11,HN00203775_CHKJ1253002,HN00203775_F2100,HN00203775_F4043,HN00203775_F4202,HN00203775_F4207,HN00204805_CHKJ1211-1,HN00204805_F1208,HN00204805_F1249-1,HN00204805_FA0221,HN00215192_CH2-11,HN00222446_AMT-87013,HN00222446_AMT73616,HN00222446_CH2-30,HN00222446_CHKJ1408,HN00222446_FA0107,HN00222446_FA0422,HN00222446_FA0508,HN00222446_GS40726,HN00222446_GSY0035,HN00222446_JJ1-101,HN00222446_KO11-19,HN00222446_Sea08-36,HN00222446_T1-19,HN00223109_AMT-912213,HN00223109_MK1-41,HN00223109_T7-42,HN00223109_TPP6047,HN00226248_AMT-63123,HN00226248_TPP3038,HN00234071_Bifi-B2104,HN00251139_BGIL25015,HN00251139_BGIL25041,HN00251139_BJS25001,HN00251139_BJS25005,HN00251139_BJS25013,HN00251139_BJS25028,HN00251139_BJS25031,HN00251139_BJS25032,HN00251139_BMX25005,HN00251139_BMX25007,HN00251139_BTH25001,HN00251139_BTH25041,HN00251139_KCUT25010,HN00251139_KJS25013,HN00251139_KJS25018,HN00251139_KJS25024,HN00251139_KJS25025,HN00251139_KYF25002,HN00252244_BMX25010,HN00280011_AMT-60913,HN00280011_AMT-62814-2,HN00280011_AMT-74420,HN00280011_AMT-913617,HN00280011_BEG25026,HN00280011_BGIL25058,HN00280011_BSO25040,HN00280011_C3-36,HN00280011_C4-50,HN00280011_CHKJ1253001,HN00280011_CHKJ153021-2,HN00280011_F1016,HN00280011_F1169-1,HN00280011_F2153,HN00280011_GS00031,HN00280011_KCUT25001,HN00280011_KCUT25011,HN00280011_KCUT25019,HN00280011_KCUT25026,HN00280011_KJS25004,HN00280011_KJS25048,HN00280011_KK200214,HN00280011_KYF25005,HN00280011_L11-28,HN00280011_L11-30,HN00280011_Sea9-11,HN00281774_BMX25006,HN00281774_BSO25019,HN00281774_BSO25044,HN00281774_C4-31,HN00281774_KRS25004,HN00281774_Sea9-10
HN00157641_AMT60212,100.0,,,83.15845,,,,,,,,,99.0663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.60675,98.58335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.63884999999999,98.6023,98.65255,,,,,,,,,,,,,,,,,,98.7661,,,99.09055000000001,,,,,,,,98.8326,,,,,,,99.6708,,,99.17675,,,,,,,,,99.9964,,,,,,,,,,,,,,,,99.98555,,,,,,,,,,,,,,,,,,,,,,98.7033,,99.08160000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00157641_CPP6002,,100.0,,,,,,,,,,,,81.19255000000001,,93.79390000000001,,79.0299,,,,,,99.23165,,,,,,,,,78.74695,,,,,,,81.138,81.06055,81.0908,97.47205,81.0648,,,81.07095000000001,78.9044,,,,,99.24475000000001,,78.95265,,78.92265,78.8973,78.6488,,,81.2164,98.3739,,,98.5272,,,,,,,81.0862,98.51185000000001,,,78.76955,,,,,,,,,,,,,,,,,,,,,81.2273,,,,,,,,,,,,,97.62235,97.53315,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.19095,,,,,,,98.554,80.80245,,,,,79.03395,97.628,97.54665,,,98.50425,,,,81.01555,,,,99.16290000000001,,99.20230000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1902,78.929,,,97.6322,,,,,,,,,,,,,,,81.11915,,,
HN00158226_AMT-62212,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.17375,,,,,,,,,,,,,,,,,,,,,,,,,,99.02350000000001,,,,,,,98.9171,,,,,,,,,,,,,,,,,,,,,,99.138,,,99.09725,,,,,99.13059999999999,,,,,,,,,,,,,,,,,,,,,,,99.08535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1157,,,,,,,,,,,,,,,,,
HN00158226_AMT-62411,83.15845,,,100.0,,,,,,,,,82.99905000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.34604999999999,83.33165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.32675,83.27745,83.2907,,,,,,,,,,,,,,,,,,82.9983,,,82.95835,,,,,,,,83.0595,,,,,,,82.85575,,,82.9074,,,,,,,,,83.1371,,,,,,,,,,,,,,,,83.2453,,,,,,,,,,,,,,,,,,,,,,83.12219999999999,,83.0315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00158226_AMT-86116,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.20519999999999,,,,,,,,,,,97.8843,,,83.1497,,,,,,83.25355,,,,,,,,83.36085,,,,83.18325,,80.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.97165,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00158226_AMT-912711,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.23265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9998,,,,,,94.09625,,98.7317,,,,,,,,,,,,,,,,,94.0363,,,,,,,,,,,,,,,,,,,,,,,,,93.89789999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3169,,,,,,,,,,
HN00158226_F1493,,,,,,,100.0,,,80.47995,,,,,,,,,,,,,,,,,,,,,98.4239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.24215000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.17485,,99.9999,,,,,,,,,,,,,,,,80.16329999999999,,,,,,,,,,,,,,,,,,,,,98.18584999999999,,,,,,,,,,,,,,,,,,,,,98.37495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00158226_GS200142,,,,,,,,100.0,,,,,,,,,83.1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.78175,,98.70205,,82.8973,,,,97.70955000000001,,,,,,,,99.35355,,,,,98.73765,83.7439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00158226_K200742,,,,,,,,,100.0,,,98.4153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00158226_TJ3-03,,,,,,,80.47995,,,100.0,,,,,,,,,,,,,,,,,,,,,80.72975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.30125000000001,,80.63465,,,,,,,,,,,,,,,,98.1738,,,,,,,,,,,,,,,,,,,,,80.9234,,,,,,,,,,,,,,,,,,,,,80.8823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00160728_K40318,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,97.82045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.71475000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99510000000001,,,,,98.7677,,,,,,,,97.56195,,,,,,,,,98.68105,79.84835000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00161493_KY0014,,,,,,,,,98.4153,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
