user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
HN00157641_AMT60212	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	GCF_014131735.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	99.59	0.948	GCF_014131735.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	99.59	0.948	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_032681335.1, s__Lactiplantibacillus sp032681335, 95.0, 90.41, 0.604; GCF_003641145.1, s__Lactiplantibacillus paraplantarum, 95.0, 88.74, 0.544; GCF_003641185.1, s__Lactiplantibacillus pentosus, 95.0, 82.83, 0.222; GCA_000463075.2, s__Lactiplantibacillus plantarum_A, 95.0, 82.35, 0.202	93.29	11	N/A	N/A
HN00157641_CPP6002	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	GCF_001461825.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	97.55	0.911	GCF_001461825.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	97.55	0.911	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000262045.1, s__Bacillus siamensis, 95.0, 94.28, 0.905; GCF_000196735.1, s__Bacillus amyloliquefaciens, 95.0, 93.9, 0.853; GCF_001584325.1, s__Bacillus nakamurai, 95.0, 87.44, 0.683; GCF_018613535.1, s__Bacillus sp018613535, 95.0, 87.37, 0.69; GCF_004124315.2, s__Bacillus cabrialesii, 95.0, 81.19, 0.193; GCF_031317525.1, s__Bacillus tequilensis, 95.0, 81.11, 0.195; GCF_040784915.1, s__Bacillus subtilis_G, 95.0, 81.0, 0.165; GCF_000009045.1, s__Bacillus subtilis, 95.0, 80.96, 0.175; GCF_001517105.1, s__Bacillus halotolerans, 95.0, 80.88, 0.203; GCF_000332645.1, s__Bacillus inaquosorum, 95.0, 80.71, 0.184; GCF_004116955.1, s__Bacillus vallismortis, 95.0, 80.62, 0.166; GCA_026790065.1, s__Bacillus sp026790065, 95.0, 80.59, 0.174; GCF_031316495.1, s__Bacillus spizizenii, 95.0, 80.54, 0.175; GCF_000738015.1, s__Bacillus stercoris, 95.0, 80.51, 0.17; GCF_031316635.1, s__Bacillus mojavensis, 95.47, 80.48, 0.194; GCF_011745685.2, s__Bacillus rugosus, 95.0, 80.35, 0.167; GCF_001584335.1, s__Bacillus atrophaeus, 95.0, 80.28, 0.17; GCA_020223575.2, s__Bacillus mexicanus, 95.0, 80.1, 0.174	95.39	11	N/A	N/A
HN00158226_AMT-62212	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__Levilactobacillus brevis	GCF_001433855.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__Levilactobacillus brevis	97.2	0.865	GCF_001433855.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__Levilactobacillus brevis	97.2	0.865	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.69	11	N/A	N/A
HN00158226_AMT-62411	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus pentosus	GCF_003641185.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus pentosus	98.11	0.884	GCF_003641185.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus pentosus	98.11	0.884	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000463075.2, s__Lactiplantibacillus plantarum_A, 95.0, 93.41, 0.837; GCF_003641145.1, s__Lactiplantibacillus paraplantarum, 95.0, 83.09, 0.2; GCF_014131735.1, s__Lactiplantibacillus plantarum, 95.0, 82.97, 0.216; GCF_032681335.1, s__Lactiplantibacillus sp032681335, 95.0, 82.04, 0.203	93.13	11	N/A	N/A
HN00158226_AMT-86116	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	GCF_007991875.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	98.32	0.905	GCF_007991875.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	98.32	0.905	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_014332815.1, s__Weissella confusa_C, 95.0, 94.65, 0.515; GCF_025908565.2, s__Weissella fermenti, 95.0, 93.09, 0.786; GCA_041871065.1, s__Weissella confusa_A, 95.0, 92.76, 0.777; GCF_000193635.1, s__Weissella cibaria, 95.0, 83.31, 0.188; GCF_004521965.1, s__Weissella cibaria_A, 95.0, 82.02, 0.175	94.5	11	N/A	N/A
HN00158226_AMT-912711	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc suionicum	GCF_001891125.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc suionicum	98.66	0.897	GCF_001891125.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc suionicum	98.66	0.897	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000014445.1, s__Leuconostoc mesenteroides, 95.0, 94.43, 0.787; GCA_009676745.1, s__Leuconostoc mesenteroides_B, 95.0, 90.05, 0.724; GCF_008107645.1, s__Leuconostoc litchii, 95.0, 82.07, 0.273	95.37	11	N/A	N/A
HN00158226_F1493	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici	GCF_000146325.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici	97.35	0.875	GCF_000146325.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici	97.35	0.875	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_024970065.1, s__Pediococcus acidilactici_A, 95.0, 91.0, 0.731	94.94	11	N/A	N/A
HN00158226_GS200142	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus sakei	GCF_002370355.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus sakei	98.75	0.917	GCF_002370355.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus sakei	98.75	0.917	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002953655.1, s__Latilactobacillus sakei_A, 95.0, 93.06, 0.799; GCF_004101845.1, s__Latilactobacillus curvatus, 95.0, 84.58, 0.236; GCF_905332535.1, s__Latilactobacillus fragifolii, 95.0, 81.07, 0.165	96.17	11	N/A	N/A
HN00158226_K200742	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	GCF_000829035.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	98.15	0.855	GCF_000829035.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	98.15	0.855	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.89	11	N/A	N/A
HN00158226_TJ3-03	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus pentosaceus	GCF_001437285.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus pentosaceus	98.73	0.912	GCF_001437285.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus pentosaceus	98.73	0.912	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022712335.1, s__Pediococcus sp022712335, 95.0, 86.08, 0.386	95.75	11	N/A	N/A
