sample_id	total_length_bp	n_contigs	N50	L50	largest_contig_bp	GC_pct	n_contigs_ge20kb	pct_length_in_contigs_ge20kb	genus_initial	species_initial	functional_group	Completeness	Contamination	pacbio_type	pacbio_total_bases	pacbio_mean_read_kb	pacbio_n50_bp	illumina_filtered_total_bases	pacbio_depth_x	illumina_depth_x	genus_final_validated	species_final_validated
HN00157641_AMT60212	3418584	9	3159859	1	3159859	44.29	5	98.82	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	2.05	Subread	857359949	8.192	10660	725612185	250.8	212.3	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00157641_CPP6002	4090508	2	4075096	1	4075096	46.45	1	99.62	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.01	Subread	909092379	9.625	12308	825124384	222.2	201.7	Bacillus	Bacillus velezensis
HN00158226_AMT-62212	2455720	5	2325009	1	2325009	45.93	4	99.62	Levilactobacillus	Levilactobacillus brevis	LAB	100.0	0.05	Subread	487141306	9.725	12787	552420615	198.4	225.0	Levilactobacillus	Levilactobacillus brevis
HN00158226_AMT-62411	3726762	4	3612893	1	3612893	46.18	3	99.54	Lactiplantibacillus	Lactiplantibacillus pentosus	LAB	100.0	0.35	Subread	624568042	10.698	13628	776304577	167.6	208.3	Lactiplantibacillus	Lactiplantibacillus pentosus
HN00158226_AMT-86116	2275823	2	2258439	1	2258439	44.83	1	99.24	Weissella	Weissella confusa	LAB	100.0	2.27	Subread	553693058	8.878	11161	722004409	243.3	317.2	Weissella	Weissella confusa
HN00158226_AMT-912711	2156091	3	2093706	1	2093706	37.03	2	99.35	Leuconostoc	Leuconostoc mesenteroides	LAB	100.0	1.33	Subread	601132922	9.107	11111	771754263	278.8	357.9	Leuconostoc	Leuconostoc mesenteroides
HN00158226_F1493	1999801	1	1999801	1	1999801	42.38	1	100.0	Pediococcus	Pediococcus acidilactici	LAB	100.0	0.9	Subread	607042847	9.719	12050	571496900	303.6	285.8	Pediococcus	Pediococcus acidilactici
HN00158226_GS200142	2067057	3	2003784	1	2003784	41.09	2	99.28	Latilactobacillus	Latilactobacillus sakei	LAB	100.0	0.32	Subread	625520620	10.593	13293	662141718	302.6	320.3	Latilactobacillus	Latilactobacillus sakei
HN00158226_K200742	3163604	3	3059607	1	3059607	46.21	2	99.64	Lacticaseibacillus	Lacticaseibacillus paracasei	LAB	99.97	0.22	Subread	634647592	9.654	11852	788298683	200.6	249.2	Lacticaseibacillus	Lacticaseibacillus paracasei
HN00158226_TJ3-03	1886652	5	1759132	1	1759132	37.29	2	97.75	Pediococcus	Pediococcus pentosaceus	LAB	100.0	0.44	Subread	618009332	10.167	12539	621655751	327.6	329.5	Pediococcus	Pediococcus pentosaceus
HN00160728_K40318	2426077	4	2310524	1	2310524	35.16	3	99.66	Lactococcus	Lactococcus lactis	LAB	100.0	0.66	Subread	695313985	10.203	12345	931454061	286.6	383.9	Lactococcus	Lactococcus lactis
HN00161493_KY0014	3280202	5	3122797	1	3122797	46.35	4	99.67	Lacticaseibacillus	Lacticaseibacillus paracasei	LAB	100.0	0.87	Subread	899219137	9.053	10851	777727605	274.1	237.1	Lacticaseibacillus	Lacticaseibacillus paracasei
HN00163376_AMT88628	3331931	4	3191483	1	3191483	44.38	3	99.63	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	0.52	Subread	484660144	8.961	11038	2573836796	145.5	772.5	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00163376_FA111	4264231	1	4264231	1	4264231	43.41	1	100.0	Bacillus	Bacillus subtilis	Bacillus_group	100.0	0.64	Subread	581252084	9.605	11993	2909440397	136.3	682.3	Bacillus	Bacillus subtilis
HN00167634_C4-2	5555608	5	5310994	1	5310994	35.4	2	99.43	Bacillus	Bacillus cereus	Bacillus_group	100.0	0.15	Subread	1275850426	9.459	11000	1222147019	229.7	220.0	Bacillus	Bacillus paranthracis
HN00167634_CPP0006	4204460	3	4014391	1	4014391	45.3	3	100.0	Bacillus	Bacillus amyloliquefaciens	Bacillus_group	100.0	0.0	Subread	1897740145	9.987	11875	1123268111	451.4	267.2	Bacillus	Bacillus amyloliquefaciens
HN00167634_K200347	1928284	1	1928284	1	1928284	41.89	1	100.0	Latilactobacillus	Latilactobacillus curvatus	LAB	99.99	0.3	Subread	659148033	8.483	10015	1072170458	341.8	556.0	Latilactobacillus	Latilactobacillus curvatus
HN00171167_F3034	4626968	1	4626968	1	4626968	45.24	1	100.0	unresolved	Bacillus sp.	Unresolved	100.0	0.96	Subread	967936995	8.528	10412	942032954	209.2	203.6	unresolved	Bacillus sp.
HN00171167_F3035	3856051	1	3856051	1	3856051	41.2	1	100.0	Bacillus	Bacillus altitudinis	Bacillus_group	100.0	0.2	Subread	882337861	8.903	10891	869744522	228.8	225.6	Bacillus	Bacillus altitudinis
HN00171167_F3039	3654280	1	3654280	1	3654280	41.77	1	100.0	Bacillus	Bacillus safensis	Bacillus_group	100.0	0.09	Subread	857885510	8.867	10833	1074858552	234.8	294.1	Bacillus	Bacillus safensis
HN00171167_F3062	3734400	1	3734400	1	3734400	41.38	1	100.0	Bacillus	Bacillus pumilus	Bacillus_group	100.0	0.01	Subread	792847278	9.204	11401	862683995	212.3	231.0	Bacillus	Bacillus aerophilus
HN00171167_F3071	3712374	1	3712374	1	3712374	41.71	1	100.0	Bacillus	Bacillus safensis	Bacillus_group	100.0	0.01	Subread	857373903	9.473	11794	939230635	231.0	253.0	Bacillus	Bacillus safensis
HN00173995_F3121	3726102	1	3726102	1	3726102	41.72	1	100.0	Bacillus	Bacillus pumilus	Bacillus_group	100.0	0.0	Subread	759175132	9.417	11273	1169985750	203.7	314.0	Bacillus	Bacillus pumilus
HN00173995_F3303	3881456	1	3881456	1	3881456	46.68	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.0	Subread	797713685	8.971	10931	924130570	205.5	238.1	Bacillus	Bacillus velezensis
HN00173995_F3309	6008605	3	5367013	1	5367013	34.94	3	100.0	Bacillus	Bacillus thuringiensis	Bacillus_group	100.0	1.55	Subread	1025650703	9.062	10804	998354922	170.7	166.2	Bacillus	Bacillus thuringiensis
HN00173995_MK3-11	5367709	4	5117307	1	5117307	38.02	4	100.0	Priestia	Priestia megaterium	Bacillus_group	100.0	0.46	Subread	1024630960	9.07	10833	999030701	190.9	186.1	Priestia	Priestia megaterium
