sample_id	total_bgc_count	RiPP-like	terpene-precursor	T3PKS	terpene	cyclic-lactone-autoinducer	NRPS	HR-T2PKS	RRE-containing	azole-containing-RiPP	PKS-like	transAT-PKS	betalactone	NRP-metallophore	lanthipeptide-class-ii	other	lanthipeptide-class-iv	lincosamides	cytokinin	lanthipeptide-class-i	RaS-RiPP	sactipeptide	CDPS	glycocin	deazapurine	lanthipeptide-class-iii	transAT-PKS-like	T1PKS	opine-like-metallophore	NI-siderophore	lassopeptide	NRPS-like	ranthipeptide	nucleoside	phosphonate	ectoine	NAPAA	lanthipeptide-class-v	epipeptide	redox-cofactor	triceptide	proteusin	amglyccycl	arylpolyene	crocagin	hserlactone	hydrogen-cyanide	thioamide-NRP	genus_final	functional_group
HN00157641_AMT60212	5	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Lactiplantibacillus	LAB
HN00157641_CPP6002	15	1	1	2	2	0	5	1	1	1	1	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacillus	Bacillus_group
HN00158226_AMT-62212	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Levilactobacillus	LAB
HN00158226_AMT-62411	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Lactiplantibacillus	LAB
HN00158226_AMT-86116	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Weissella	LAB
HN00158226_AMT-912711	8	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Leuconostoc	LAB
HN00158226_F1493	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pediococcus	LAB
HN00158226_GS200142	3	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Latilactobacillus	LAB
HN00158226_K200742	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Lacticaseibacillus	LAB
HN00158226_TJ3-03	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pediococcus	LAB
